epoch,yaw_error,pitch_error,roll_error
1,7.9852,5.9340,4.9663
2,1.8168,3.1532,2.7572
3,1.5414,2.6499,2.3078
4,1.3938,2.3963,2.0929
5,1.2895,2.2228,1.9603
6,1.2106,2.1255,1.8809
7,1.1507,2.0236,1.7939
8,1.0989,1.9416,1.7193
9,1.0658,1.8668,1.6567
10,1.0283,1.8217,1.6076
11,0.7960,1.4641,1.2993
12,0.7793,1.4184,1.2625
13,0.7573,1.3819,1.2344
14,0.7491,1.3481,1.1952
15,0.7344,1.3175,1.1753
16,0.7270,1.2991,1.1527
17,0.7216,1.2813,1.1416
18,0.7187,1.2672,1.1271
19,0.7032,1.2556,1.1138
20,0.6982,1.2384,1.0993
